frame,timestamp,can_track_id,x1,y1,x2,y2
3930,627.8,24,465,822,576,980
3930,627.8,25,208,144,360,366
3931,627.96,20,409,119,592,361
3931,627.96,24,467,821,577,980
3931,627.96,25,208,144,362,369
3932,628.12,20,409,118,593,362
3932,628.12,24,467,816,578,978
3932,628.12,25,207,144,364,373
3933,628.27,20,409,117,594,362
3933,628.27,24,467,814,578,978
3933,628.27,25,207,144,366,376
3934,628.43,20,408,117,594,363
3934,628.43,24,467,813,579,977
3934,628.43,25,206,144,368,380
3935,628.59,20,408,116,595,363
3935,628.59,24,466,812,579,977
3935,628.59,25,206,144,369,383
3936,628.75,20,408,115,596,364
3936,628.75,24,466,811,579,977
3936,628.75,25,205,144,371,387
3937,628.91,20,408,114,597,364
3937,628.91,24,466,810,580,977
3937,628.91,25,205,144,373,390
3938,629.07,20,408,114,598,365
3938,629.07,24,465,808,580,977
3938,629.07,25,204,144,375,394
3939,629.23,20,408,113,599,366
3939,629.23,24,465,807,581,977
3939,629.23,25,203,144,377,397
3940,629.39,20,408,112,600,366
3940,629.39,24,465,806,581,977
3940,629.39,25,203,144,379,401
3941,629.55,20,407,111,600,367
3941,629.55,24,464,805,582,977
3941,629.55,25,202,143,381,404
3942,629.71,20,407,111,601,367
3942,629.71,24,464,803,582,977
3942,629.71,25,202,143,383,408
3943,629.87,20,407,110,602,368
3943,629.87,24,464,802,583,977
3943,629.87,25,201,143,385,411
3944,630.03,20,407,109,603,368
3944,630.03,24,463,801,583,977
3944,630.03,25,201,143,387,415
3945,630.19,20,407,108,604,369
3945,630.19,24,463,800,584,977
3945,630.19,25,200,143,388,418
3946,630.35,20,407,107,605,369
3946,630.35,24,463,799,584,977
3946,630.35,25,200,143,390,422
3947,630.51,20,407,107,606,370
3947,630.51,24,462,797,584,977
3947,630.51,25,199,143,392,425
3948,630.67,20,406,106,606,370
3948,630.67,24,462,796,585,977
3948,630.67,25,199,143,394,429
3949,630.83,20,406,105,607,371
3949,630.83,24,462,795,585,977
3949,630.83,25,198,143,396,432
3950,630.99,20,406,104,608,372
3950,630.99,24,461,794,586,976
3950,630.99,25,198,143,398,436
3951,631.15,20,406,104,609,372
3951,631.15,24,461,792,586,976
3951,631.15,25,197,143,400,439
3952,631.31,20,406,103,610,373
3952,631.31,24,461,791,587,976
3952,631.31,25,197,143,402,443
3953,631.47,20,406,102,611,373
3953,631.47,24,460,790,587,976
3953,631.47,25,196,143,404,447
3954,631.63,20,406,101,612,374
3954,631.63,24,460,789,588,976
3955,631.79,20,405,100,612,374
3955,631.79,24,460,788,588,976
3956,631.95,20,405,100,613,375
3956,631.95,24,459,786,588,976
3957,632.11,24,459,785,589,976
3958,632.27,24,459,784,589,976
3959,632.43,24,458,783,590,976
3959,632.43,26,433,802,546,960
3960,632.59,24,458,781,590,976
3960,632.59,26,432,799,546,959
3961,632.75,24,458,780,591,976
3961,632.75,26,430,796,547,959
3962,632.91,24,457,779,591,976
3962,632.91,26,429,794,547,959
3963,633.07,26,427,791,547,958
3964,633.23,26,426,788,548,958
3965,633.39,26,425,785,548,958
3966,633.55,26,423,783,548,957
3967,633.71,26,422,780,548,957
3968,633.87,26,420,777,549,957
3969,634.03,26,419,775,549,956
